,address,num_bathrooms,num_bedrooms,lat,long,price
27,"4/24 Elizabeth Street, Mount Victoria, Wellington",1,2,-41.296239,174.784224,$TBC
28,"110 Darlington Road, Miramar, Wellington",1,3,-41.3070288167,174.826061517,$TBC
29,"25 Glen Road, Kelburn, Wellington",2,4,-41.2865778667,174.763959383,$TBC
30,"52 Ellice Street, Mount Victoria, Wellington",3,5,-41.3006613,174.783841267,$TBC
31,"426 Karori Road, Karori, Wellington",2,4,-41.2886569667,174.723201283,$TBC
32,"128A Tasman Street, Mount Cook, Wellington",2,4,-41.3041318833,174.7764842,$TBC
33,"1/24 Tamar Street, Island Bay, Wellington",1,2,-41.33121585,174.77413935,$TBC
34,"285 Karaka Bay Road, Karaka Bays, Wellington",1,3,-41.3099592333,174.830077133,$TBC
35,"6 Travers Street, Vogeltown, Wellington",2,3,-41.315253,174.771346467,$TBC
36,"48 Ellice Street, Mount Victoria, Wellington",2,4,-41.3005776667,174.783611433,$TBC
37,"5/157 Hobart Street, Miramar, Wellington",1,2,-41.3168001833,174.816039433,$TBC
38,"4 Waitoa Road, Hataitai, Wellington",2,3,-41.3047391,174.796803733,$TBC
39,"17 Hewett Way, Ngaio, Wellington",2,3,-41.2553858833,174.767948917,$TBC
40,"181 Ohiro Road, Brooklyn, Wellington",2,3,-41.30474105,174.763560317,$TBC
41,"41 Southgate Road, Southgate, Wellington",1,3,-41.3348384833,174.782451183,$TBC
42,"12A Mairangi Road, Wadestown, Wellington",3,5,-41.2634517167,174.770455933,$TBC
43,"18 Hector Street, Seatoun, Wellington",3,5,-41.3245293667,174.8348143,$TBC
44,"89 Constable Street, Newtown, Wellington",1,3,-41.31277865,174.78473865,$TBC
45,"9 Pari Tai Way, Houghton Bay, Wellington",2,3,-41.3318132333,174.788609983,$TBC
46,"17A Strathmore Avenue, Strathmore Park, Wellington",1,2,-41.32588035,174.820625967,$TBC
47,"279 Mansfield Street, Newtown, Wellington",1,3,-41.3176212167,174.781186733,$TBC
48,"20 Rama Crescent, Khandallah, Wellington",2,4,-41.25501545,174.79097675,$TBC
49,"14 Wellington Road, Hataitai, Wellington",1,3,-41.3121198667,174.794552433,$TBC
50,"2 Kaikoura Street, Maupuia, Wellington",1,3,-41.3073199333,174.817893417,$TBC
51,"66A Wellington Road, Hataitai, Wellington",1,3,-41.3115453167,174.7910329,$TBC
52,"111 Silverstream Road, Crofton Downs, Wellington",3,4,-41.2510909344,174.757513604,$TBC
53,"9A Ridd Crescent, Karori, Wellington",2,3,-41.2883451333,174.73544095,$TBC
54,"61 Montreal Grove, Kingston, Wellington",2,4,-41.3257893167,174.76089025,$TBC
55,"53 Box Hill, Khandallah, Wellington",3,5,-41.2450299,174.79072285,$TBC
56,"30 Thurleigh Grove, Karori, Wellington",2,4,-41.28849205,174.719932733,$TBC
57,"5 Pomare Street, Ngaio, Wellington",1,3,-41.2481180167,174.780795483,$TBC
58,"33 Athens Street, Miramar, Wellington",2,4,-41.3170151667,174.8220921,$TBC
59,"23 Bentinck Avenue, Strathmore Park, Wellington",1,3,-41.3257779,174.82291485,$TBC
60,"450 Makara Road, Makara, Wellington",2,3,-41.2652757833,174.71068905,$TBC
61,"6 Newman Terrace, Thorndon, Wellington",2,4,-41.26926795,174.7795863,$TBC
62,"67 Standen Street, Karori, Wellington",1,3,-41.2777111167,174.748523767,$TBC
63,"141 Nicholson Road, Khandallah, Wellington",3,5,-41.2529756167,174.793845117,"$1,430,000"
64,"11 Orari Street, Ngaio, Wellington",2,3,-41.2536115167,174.773659833,$TBC
65,"11B Doris Gordon Crescent, Crofton Downs, Wellington",1,2,-41.2543804333,174.760425983,$TBC
66,"118 Glenmore Street, Northland, Wellington",2,4,-41.2841809167,174.760767367,$TBC
67,"10 Edinburgh Terrace, Berhampore, Wellington",1,3,-41.3215501833,174.779615633,$TBC
68,"79 Miramar North Road, Miramar, Wellington",1,3,-41.30536735,174.820817817,$TBC
69,"7 Standen Street, Karori, Wellington",1,3,-41.2807837667,174.750214183,$TBC
70,"20 Talavera Terrace, Kelburn, Wellington",3,4,-41.2835146833,174.7716185,$TBC
71,"26A Buckley Road, Southgate, Wellington",2,3,-41.3317834667,174.7822478,$TBC
72,"326 Ohiro Road, Brooklyn, Wellington",1,3,-41.3124383167,174.7616147,$TBC
73,"2 The Rigi, Northland, Wellington",1,3,-41.2852652333,174.75880575,$TBC
74,"28 Devon Street, Aro Valley, Wellington",2,4,-41.2939657,174.76691715,$TBC
75,"168 Mitchell Street, Brooklyn, Wellington",2,3,-41.3113287667,174.757773817,$TBC
76,"92 Mortimer Terrace, Brooklyn, Wellington",2,4,-41.2993325,174.76192375,$TBC
77,"6 Bank Road, Northland, Wellington",2,3,-41.2808921167,174.76436425,"$965,000"
78,"296 Karori Road, Karori, Wellington",2,3,-41.2854470167,174.734531917,"$985,000"
79,"5B Mace Street, Island Bay, Wellington",2,3,-41.3323193333,174.7773479,$TBC
80,"27 Boundary Road, Kelburn, Wellington",3,4,-41.2850623333,174.76101545,$TBC
81,"25A Bombay Street, Ngaio, Wellington",2,4,-41.2498770167,174.781437017,$TBC
82,"10 Newcombe Crescent, Karori, Wellington",2,4,-41.2826326,174.741128367,$TBC
83,"1E Kensington Street, Te Aro, Wellington",2,3,-41.29604775,174.772540883,"$1,000,000"
84,"27B Southgate Road, Southgate, Wellington",2,4,-41.3340152333,174.782539633,$TBC
85,"31 Collingwood Street, Ngaio, Wellington",1,3,-41.25116725,174.77124535,$TBC
86,"23A Quebec Street, Kingston, Wellington",1,1,-41.3225372167,174.76328725,$TBC
87,"67 Overtoun Terrace, Hataitai, Wellington",2,4,-41.3086899833,174.796291333,$TBC
88,"18 Charlotte Avenue, Brooklyn, Wellington",1,3,-41.3050413,174.762336633,$TBC
89,"6 Russell Terrace, Newtown, Wellington",2,3,-41.316867,174.780471,$TBC
90,"30 Rua Street, Lyall Bay, Wellington",1,3,-41.3302409167,174.791138583,"$690,000"
91,"18 Totara Road, Miramar, Wellington",3,4,-41.3111833667,174.826485667,$TBC
92,"309 Adelaide Road, Newtown, Wellington",2,3,-41.3127239,174.776438967,$TBC
93,"21 Bankot Crescent, Ngaio, Wellington",1,3,-41.2510551167,174.782103433,"$816,200"
94,"1 Lanark Way, Northland, Wellington",2,4,-41.27369765,174.761637867,"$750,000"
95,"132 The Ridgeway, Mornington, Wellington",2,3,-41.3177498,174.763760383,$TBC
96,"165A Ohiro Road, Brooklyn, Wellington",1,3,-41.3042158333,174.76425405,$TBC
97,"35 Aparima Avenue, Miramar, Wellington",1,3,-41.3193706667,174.816211583,$TBC
98,"2/15 Upper Lewisville Terrace, Thorndon, Wellington",1,2,-41.2776070833,174.7691034,$TBC
99,"7 Te Kainga Way, Khandallah, Wellington",3,5,-41.2526000667,174.787306733,$TBC
100,"380B Evans Bay Parade, Hataitai, Wellington",2,4,-41.3041039,174.80017,$TBC
101,"473 Ohiro Road, Brooklyn, Wellington",1,3,-41.3217070833,174.759954017,$TBC
102,"10 Harriett Street, Thorndon, Wellington",2,4,-41.27548525,174.772423483,$TBC
103,"73 Duncan Terrace, Kilbirnie, Wellington",1,3,-41.31853575,174.79074445,$TBC
104,"133 Mairangi Road, Wilton, Wellington",2,3,-41.2672191167,174.76641345,"$930,000"
105,"9 Winston Street, Crofton Downs, Wellington",2,3,-41.2559174167,174.764674767,"$885,715"
106,"15 Darwin Street, Karori, Wellington",2,4,-41.2843304,174.7334759,$TBC
107,"213 Cockayne Road, Ngaio, Wellington",1,3,-41.25263705,174.7783856,$TBC
108,"111 Breaker Bay Road, Breaker Bay, Wellington",1,3,-41.33298655,174.825809483,$TBC
109,"15 Flers Street, Karori, Wellington",2,3,-41.28295195,174.74833835,$TBC
110,"14 Garfield Street, Brooklyn, Wellington",1,3,-41.3072186,174.76573645,$TBC
111,"191 Marine Parade, Seatoun, Wellington",2,4,-41.3142330833,174.827424967,"$1,025,000"
112,"52 Bedford Street, Northland, Wellington",2,3,-41.2763637333,174.7606171,"$907,000"
113,"125 Cashmere Avenue, Khandallah, Wellington",2,4,-41.2484047167,174.800134617,$TBC
114,"A/68 Victory Avenue, Karori, Wellington",0,0,-41.2843977833,174.729863283,"$220,000"
115,"6/139 Queens Drive, Lyall Bay, Wellington",1,2,-41.3277012333,174.792107017,"$492,000"
116,"18/62 Moxham Avenue, Hataitai, Wellington",1,1,-41.3063873,174.793106767,"$350,000"
117,"14 Tobruk Street, Karori, Wellington",1,3,-41.28059715,174.729738333,"$765,000"
118,"11 Voltaire Street, Karori, Wellington",0,0,-41.29362945,174.743043783,$TBC
119,"42 Nicholson Road, Khandallah, Wellington",2,3,-41.24897545,174.79068465,$TBC
120,"63 Brougham Street, Mount Victoria, Wellington",2,3,-41.2973948,174.785146333,$TBC
121,"31 Rawhiti Terrace, Kelburn, Wellington",3,4,-41.2866096833,174.767696417,"$1,715,000"
122,"143 Campbell Street, Karori, Wellington",1,3,-41.2920100167,174.743623083,"$895,000"
123,"101 Parkvale Road, Karori, Wellington",2,4,-41.2790443667,174.73527165,"$890,000"
124,"29 Grant Road, Thorndon, Wellington",2,4,-41.2691485333,174.778620483,$TBC
125,"183D Wilton Road, Wilton, Wellington",2,3,-41.26949275,174.755926183,$TBC
126,"10 Russell Terrace, Newtown, Wellington",2,3,-41.31699335,174.780460083,$TBC
127,"88 Warwick Street, Wilton, Wellington",2,4,-41.26696785,174.764196917,"$890,000"
128,"5E/115 Dixon Street, Te Aro, Wellington",1,2,-41.291064,174.774041,"$630,000"
129,"23 Waikato Street, Island Bay, Wellington",2,3,-41.3324760333,174.7727937,"$898,000"
130,"2/21 Sunshine Avenue, Karori, Wellington",1,2,-41.284292,174.725017,$TBC
131,"6/258 Cockayne Road, Ngaio, Wellington",1,2,-41.2528431333,174.7763116,"$440,000"
132,"24 Avon Street, Island Bay, Wellington",1,3,-41.3336873167,174.775921233,$TBC
133,"25 Awarua Street, Ngaio, Wellington",2,3,-41.24618385,174.7726538,$TBC
134,"24 Alanbrooke Place, Karori, Wellington",0,0,-41.27918215,174.732715333,$TBC
135,"85 Pirie Street, Mount Victoria, Wellington",2,3,-41.2983481167,174.786455033,"$1,200,000"
136,"261 Darlington Road, Miramar, Wellington",1,2,-41.3017973,174.826236317,"$550,000"
137,"435A Broadway, Miramar, Wellington",2,3,-41.3247707667,174.816933917,$TBC
138,"62/120 Rintoul Street, Newtown, Wellington",2,3,-41.3155932,174.777001533,"$750,000"
139,"87 Garden Road, Northland, Wellington",1,3,-41.28163385,174.7640441,"$710,000"
140,"11 Raine Street, Karori, Wellington",3,4,-41.2836122167,174.738032733,"$1,450,000"
141,"13 Devon Street, Aro Valley, Wellington",1,3,-41.29438125,174.766596367,"$870,000"
142,"151 Washington Avenue, Brooklyn, Wellington",1,3,-41.3097019167,174.76594685,"$878,000"
143,"7 Putnam Street, Northland, Wellington",2,4,-41.2839389833,174.754909267,"$1,190,000"
144,"6 Lerwick Terrace, Melrose, Wellington",2,3,-41.3232962833,174.79165715,"$975,000"
145,"176 Barnard Street, Wadestown, Wellington",2,4,-41.2601746667,174.786279717,"$1,350,000"
146,"67 Miramar North Road, Miramar, Wellington",1,3,-41.3060414167,174.820187683,"$900,188"
147,"2 Tringham Street, Karori, Wellington",1,3,-41.2865439333,174.728399183,"$861,800"
148,"9 Selkirk Way, Karori, Wellington",2,4,-41.2898591833,174.73602515,"$385,000"
149,"7 Hay Street, Oriental Bay, Wellington",2,4,-41.2917385833,174.794786667,"$1,885,000"
150,"27 Croydon Street, Karori, Wellington",2,3,-41.29222505,174.74666785,"$800,000"
151,"11 Fortification Road, Karaka Bays, Wellington",2,3,-41.30007695,174.829998167,$TBC
152,"10 Rutland Way, Wadestown, Wellington",2,4,-41.2651269333,174.767199617,"$1,110,000"
153,"3 Cornford Street, Karori, Wellington",3,5,-41.2814233667,174.735574917,"$1,125,000"
154,"9 Bedford Street, Northland, Wellington",2,3,-41.2733264833,174.759860133,"$785,000"
155,"8/240 The Terrace, Wellington Central, Wellington",1,2,-41.2882330833,174.771643567,"$745,000"
156,"51 Northland Road, Northland, Wellington",2,3,-41.2837682,174.7561631,"$1,300,000"
157,"18 Espin Crescent, Karori, Wellington",2,4,-41.2860345833,174.752512617,$TBC
158,"6A Winnipeg Way, Kingston, Wellington",1,2,-41.32781075,174.763014783,"$450,000"
159,"51A Ganges Road, Khandallah, Wellington",1,3,-41.2482133333,174.7927161,"$787,500"
160,"4 Moir Street, Mount Victoria, Wellington",1,3,-41.2994515333,174.78298575,"$1,012,000"
161,"6B Winnipeg Way, Kingston, Wellington",1,2,-41.3278020333,174.762893933,"$400,000"
162,"6 Earls Terrace, Mount Victoria, Wellington",1,3,-41.2947620833,174.78826035,$TBC
163,"167 Aro Street, Aro Valley, Wellington",1,3,-41.2955697333,174.764428,"$782,000"
164,"2 Penlington Place, Karori, Wellington",1,3,-41.2794694,174.727777567,$TBC
165,"204 Coutts Street, Rongotai, Wellington",2,3,-41.3227877833,174.80264675,$TBC
166,"120 Campbell Street, Karori, Wellington",1,3,-41.2925938,174.743309883,"$795,000"
167,"14 Fiona Grove, Karori, Wellington",1,3,-41.29308695,174.7246539,"$640,000"
168,"10 Sandhurst Way, Crofton Downs, Wellington",1,2,-41.2593578667,174.763015333,"$644,000"
169,"33 Amapur Drive, Khandallah, Wellington",1,2,-41.2449540167,174.781062983,"$725,000"
170,"60 Hornsey Road, Melrose, Wellington",1,3,-41.3306958167,174.786668183,"$850,000"
171,"347 Adelaide Road, Newtown, Wellington",1,2,-41.3143243167,174.775910233,"$810,000"
172,"178 Darlington Road, Miramar, Wellington",2,4,-41.3026102167,174.8271239,"$1,020,000"
173,"68 Old Porirua Road, Ngaio, Wellington",2,3,-41.2567001833,174.781013633,"$599,611"
174,"2/46 Richmond Avenue, Karori, Wellington",1,2,-41.28951595,174.73072205,"$646,500"
175,"42 Ganges Road, Khandallah, Wellington",2,4,-41.2481983333,174.792225783,"$1,150,000"
176,"24 Hurman Street, Karori, Wellington",2,4,-41.28975455,174.74585045,"$1,320,000"
177,"2/74A Rotherham Terrace, Miramar, Wellington",1,2,-41.31269235,174.822006,"$625,000"
178,"18 Sugarloaf Road, Brooklyn, Wellington",1,3,-41.3040583167,174.760719,"$831,500"
179,"C/85 Makara Road, Karori, Wellington",0,0,-41.2850871667,174.719451083,"$980,000"
180,"22 Eden Street, Island Bay, Wellington",2,3,-41.3293377333,174.77236475,"$1,270,000"
181,"49 Tarikaka Street, Ngaio, Wellington",1,3,-41.24918095,174.781098667,"$925,000"
182,"20/8 Thatcher Crescent, Crofton Downs, Wellington",2,3,-41.2537663333,174.76654325,"$790,000"
183,"80 Para Street, Miramar, Wellington",1,3,-41.3133547,174.8226088,"$900,000"
184,"55 Everest Street, Khandallah, Wellington",2,3,-41.2494497833,174.79182975,"$1,100,000"
185,"32/40 The Terrace, Wellington Central, Wellington",1,2,-41.2803327,174.7750237,"$230,000"
186,"7 Yale Road, Mount Cook, Wellington",2,3,-41.30463035,174.775907833,"$800,000"
187,"7/219 Grant Road, Thorndon, Wellington",1,2,-41.27507705,174.77171675,"$500,000"
188,"31 Devon Street, Aro Valley, Wellington",2,3,-41.29368915,174.766736517,"$1,060,000"
189,"59 Hataitai Road, Hataitai, Wellington",2,4,-41.2992398667,174.79919855,"$1,100,000"
190,"116 Owen Street, Newtown, Wellington",2,4,-41.3148932333,174.7848538,"$1,145,200"
191,"7 Kingston Heights Road, Kingston, Wellington",1,3,-41.3211653833,174.76443485,"$820,000"
192,"131 Hornsey Road, Melrose, Wellington",2,4,-41.33183925,174.787363333,"$1,183,000"
193,"3/66 Ghuznee Street, Te Aro, Wellington",2,3,-41.2929022167,174.774965617,"$860,000"
194,"18 Canterbury Street, Karori, Wellington",2,3,-41.2774547167,174.73424835,"$765,000"
195,"17 Hamilton Road, Hataitai, Wellington",1,3,-41.3061843333,174.7956088,"$1,105,000"
196,"18 Central Terrace, Kelburn, Wellington",3,5,-41.2886415,174.766114833,$TBC
197,"196 Glenmore Street, Northland, Wellington",2,3,-41.2871037833,174.756614617,"$1,606,000"
198,"34 Oban Street, Wadestown, Wellington",2,3,-41.2619256333,174.778463933,"$1,100,000"
199,"11 Norfolk Street, Northland, Wellington",1,3,-41.28237005,174.755847467,"$990,000"
200,"3 Burrows Avenue, Karori, Wellington",2,3,-41.2870283833,174.731293617,"$1,050,000"
201,"407 Broadway, Miramar, Wellington",1,3,-41.3251014833,174.814357767,"$730,000"
202,"35 Brougham Street, Mount Victoria, Wellington",1,3,-41.2961872833,174.785833467,"$1,705,000"
203,"53 Mills Road, Brooklyn, Wellington",1,3,-41.3135701667,174.7658922,"$910,000"
204,"4B Palm Grove, Berhampore, Wellington",1,3,-41.3193110167,174.774860217,"$707,000"
205,"193B Townsend Road, Miramar, Wellington",2,4,-41.32100085,174.824634783,"$1,040,000"
206,"5A Duke Street, Mount Victoria, Wellington",1,2,-41.2937286833,174.787379933,"$820,000"
207,"60 Endeavour Street, Lyall Bay, Wellington",1,3,-41.32345695,174.796572167,"$875,000"
208,"259 Mitchell Street, Brooklyn, Wellington",2,4,-41.3161857833,174.759173067,"$1,050,000"
209,"2/14 Hector Street, Seatoun, Wellington",1,2,-41.3242362833,174.834896317,"$695,000"
210,"19 Shotter Street, Karori, Wellington",3,4,-41.2919113,174.738307317,"$956,000"
211,"1/54 Rama Crescent, Khandallah, Wellington",2,3,-41.2556158167,174.78992235,$TBC
212,"6 Rewa Road, Hataitai, Wellington",1,3,-41.304797,174.798737017,"$930,000"
213,"1/15 Kio Road, Hataitai, Wellington",1,2,-41.2981556833,174.803807833,"$670,000"
214,"145 Owen Street, Newtown, Wellington",2,3,-41.3170574667,174.785829333,$TBC
215,"9 Kaihuia Terrace, Northland, Wellington",1,3,-41.2784232167,174.758875367,"$805,000"
216,"125 Miramar North Road, Miramar, Wellington",2,3,-41.3027462167,174.823301283,"$830,000"
217,"489 Ohiro Road, Brooklyn, Wellington",1,3,-41.3228983333,174.75955265,"$765,000"
218,"5 Mcintyre Avenue, Mount Victoria, Wellington",2,3,-41.2933897,174.789533883,"$1,060,000"
219,"6 Colorado Grove, Brooklyn, Wellington",1,3,-41.3103234333,174.75768885,"$876,000"
220,"7 Holloway Road, Aro Valley, Wellington",1,3,-41.2939110833,174.75985475,"$919,000"
221,"144A Mitchell Street, Brooklyn, Wellington",1,2,-41.30933,174.758112,"$620,000"
222,"29 Khouri Avenue, Karori, Wellington",2,4,-41.2851462167,174.721244217,"$1,020,000"
223,"8 Greenview Way, Miramar, Wellington",1,3,-41.3049281167,174.8269182,"$945,500"
224,"33 Hudson Street, Island Bay, Wellington",1,3,-41.3355525833,174.778518117,"$525,000"
225,"7 Millward Street, Newtown, Wellington",1,3,-41.3141456,174.77916645,"$925,000"
226,"8A Childers Terrace, Kilbirnie, Wellington",1,2,-41.3166574,174.793555517,"$675,000"
227,"1 Mcfarlane Street, Mount Victoria, Wellington",1,3,-41.2925956167,174.787883183,"$1,221,100"
228,"1 Seddon Terrace, Newtown, Wellington",1,3,-41.3116077833,174.7870195,"$1,021,750"
229,"230 Ohiro Road, Brooklyn, Wellington",1,3,-41.3074631667,174.762573967,"$870,000"
230,"11 Warwick Street, Wilton, Wellington",1,3,-41.26893925,174.760490433,"$780,000"
231,"5 Beavis Lane, Karori, Wellington",3,5,-41.29166755,174.73848715,"$950,000"
232,"1/271 Karori Road, Karori, Wellington",2,3,-41.2852323,174.736330267,"$1,005,000"
233,"38 Rex Street, Miramar, Wellington",2,3,-41.3127034833,174.819487033,"$1,003,000"
234,"57 Nottingham Street, Karori, Wellington",1,3,-41.2787089,174.74769835,$TBC
235,"15 Reuben Avenue, Brooklyn, Wellington",2,3,-41.30776255,174.761883317,"$937,500"
236,"2 Samuel Parnell Road, Karori, Wellington",2,4,-41.2828677,174.7363787,"$885,000"
237,"14A Parklands Drive, Karori, Wellington",1,3,-41.2902125,174.726296283,"$595,000"
238,"4 Denbigh Way, Wilton, Wellington",2,3,-41.2680906667,174.765318567,"$897,000"
239,"2/12 Stanley Street, Berhampore, Wellington",2,3,-41.320201,174.772431,"$920,000"
240,"31C Patanga Crescent, Thorndon, Wellington",2,4,-41.2789263333,174.767439017,"$1,069,000"
241,"12 Laura Avenue, Brooklyn, Wellington",1,3,-41.3005756667,174.7629178,"$750,000"
242,"23 Belvedere Road, Hataitai, Wellington",2,4,-41.3064594333,174.798073967,"$1,300,000"
243,"38 Allington Road, Karori, Wellington",1,3,-41.2897147,174.719909783,"$910,000"
244,"18 Crofton Road, Ngaio, Wellington",3,5,-41.2536134333,174.774554667,"$1,275,000"
245,"177 Wilton Road, Wilton, Wellington",1,3,-41.2689471,174.7556854,"$890,800"
246,"26 Lohia Street, Khandallah, Wellington",3,5,-41.2497194833,174.800815233,"$1,800,000"
247,"3 Cruickshank Street, Kilbirnie, Wellington",3,5,-41.32110465,174.794986117,"$925,000"
248,"30 Tiketike Way, Brooklyn, Wellington",2,4,-41.3098650833,174.7615931,"$905,000"
249,"39 Townsend Road, Miramar, Wellington",1,3,-41.31479155,174.822706367,"$962,000"
250,"87 Todman Street, Brooklyn, Wellington",1,3,-41.3066256,174.75962465,"$690,000"
251,"28 Amapur Drive, Khandallah, Wellington",2,4,-41.24560055,174.781767433,"$950,000"
252,"5 Bruce Avenue, Brooklyn, Wellington",2,4,-41.3019865833,174.762485433,"$1,860,500"
253,"45 Cecil Road, Wadestown, Wellington",1,3,-41.2634603667,174.77243015,"$1,310,000"
254,"15B Perth Street, Ngaio, Wellington",2,4,-41.2549965833,174.7740508,"$1,070,000"
255,"57 Anne Street, Wadestown, Wellington",3,5,-41.26054845,174.7828264,"$2,160,000"
256,"29B Newport Terrace, Seatoun, Wellington",2,4,-41.317649,174.826867,$TBC
257,"153 Onslow Road, Khandallah, Wellington",2,4,-41.2488164667,174.8025948,"$790,000"
258,"8/22 Sussex Street, Mount Cook, Wellington",1,2,-41.2998302167,174.778864483,$TBC
259,"7 Clive Road, Khandallah, Wellington",3,5,-41.2515813667,174.79317465,"$5,750,000"
260,"13 Fortification Road, Karaka Bays, Wellington",2,4,-41.2999505833,174.829978467,"$1,100,000"
261,"2/185 Cecil Road, Wilton, Wellington",1,2,-41.2693422833,174.7670359,"$564,500"
262,"20 Versailles Street, Karori, Wellington",2,3,-41.2935626333,174.747079683,"$870,000"
263,"67 Weld Street, Wadestown, Wellington",2,3,-41.2633565333,174.773595983,"$1,420,000"
264,"144 Townsend Road, Miramar, Wellington",1,3,-41.3204463667,174.82215815,"$1,182,500"
265,"34 Tavistock Road, Melrose, Wellington",1,3,-41.3254229833,174.789534617,"$825,000"
266,"166 Queens Drive, Lyall Bay, Wellington",1,3,-41.3290366667,174.791561467,"$935,000"
267,"18B St Mary Street, Thorndon, Wellington",1,3,-41.2783607833,174.768186033,"$860,000"
268,"61 Ellesmere Avenue, Miramar, Wellington",2,3,-41.3199255333,174.815139,"$1,300,000"
269,"273 Darlington Road, Miramar, Wellington",1,2,-41.3020783333,174.8259861,"$650,000"
270,"65 Waitoa Road, Hataitai, Wellington",1,3,-41.3027645833,174.7925757,"$767,500"
271,"47A Percy Dyett Drive, Karori, Wellington",1,3,-41.2825020167,174.726441683,"$700,000"
272,"83 Volga Street, Island Bay, Wellington",2,4,-41.3329462333,174.779151967,"$910,000"
273,"57 Mills Road, Brooklyn, Wellington",2,4,-41.3137182833,174.7658489,"$1,067,000"
274,"8 Pitarua Street, Thorndon, Wellington",2,4,-41.2756908167,174.7713304,"$851,000"
275,"27 Grant Road, Thorndon, Wellington",2,3,-41.26907925,174.778686617,"$1,221,000"
276,"311/60 Willis Street, Wellington Central, Wellington",1,2,-41.2877808831,174.775321977,"$461,750"
277,"41 Buckley Road, Southgate, Wellington",1,3,-41.33264895,174.783554717,"$757,000"
278,"17C Onslow Road, Khandallah, Wellington",2,3,-41.2523241833,174.800248267,"$730,000"
279,"91A Duncan Terrace, Kilbirnie, Wellington",2,3,-41.3197693167,174.790502983,$TBC
280,"42 Buckingham Street, Melrose, Wellington",1,3,-41.32222945,174.7905594,"$650,000"
281,"2J/21 Rugby Street, Mount Cook, Wellington",1,2,-41.3016033667,174.780588317,"$622,000"
282,"89 Darlington Road, Miramar, Wellington",2,4,-41.3088855833,174.824838117,"$1,371,000"
283,"8/60 Owen Street, Newtown, Wellington",2,3,-41.31187265,174.783484367,"$810,000"
284,"18A Everest Street, Khandallah, Wellington",3,4,-41.2475135333,174.793846183,$TBC
285,"13 Agra Crescent, Khandallah, Wellington",3,4,-41.2454052833,174.7930008,$TBC
286,"6 Nakora Road, Karaka Bays, Wellington",2,4,-41.2995553667,174.83105005,"$1,511,500"
287,"8 Orleans Street, Ngaio, Wellington",1,3,-41.2477860667,174.76883045,"$845,000"
288,"7 Taft Street, Brooklyn, Wellington",1,3,-41.3089874,174.765505833,"$717,500"
289,"108A Weka Street, Miramar, Wellington",1,3,-41.30297565,174.825875683,$TBC
290,"42 Porritt Avenue, Mount Victoria, Wellington",2,3,-41.300107,174.785141,"$1,702,000"
291,"129 Tasman Street, Mount Cook, Wellington",2,3,-41.3039913667,174.776922217,"$1,100,000"
